Municipality;Percentage of Smart Meters;Consumption per Contract
Trancoso;0.28074866310160427807;229.17649
Trofa;0.02697744685442969677;791.4344
Tábua;0.17891997397527651269;384.8716
Vagos;0.05350812654671928299;500.39252
Vale de Cambra;0.05579912315663611;617.164
Valença;0.15748031496062992126;637.92038
Valongo;0.00852133529324045078;418.3533
Valpaços;0.18774406728747371583;190.64301
Vendas Novas;0.02948982601002654084;538.08459
Viana do Alentejo;0.08174386920980926431;396.47912
Viana do Castelo;0.05040887196146521788;954.38397
Vidigueira;0.10309278350515463918;1442.87474
Vieira do Minho;0.21208907741251325557;382.39191
Vila de Rei;0.09419152276295133438;226.38664
Vila do Bispo;0.0756859035004730369;531.64429
Vila do Conde;0.04853583562530334897;705.78477
Vila Flor;0.25542784163473818646;209.05547
Vila Franca de Xira;0.00803998552802604955;928.59737
Vila Nova da Barquinha;0.09391876027236440479;339.50628
Vila Nova de Cerveira;0.17163364019347792167;709.95716
Vila Nova de Famalicão;0.0599563953488372093;1239.9811
Vila Nova de Foz Côa;0.23159636062861869313;224.74401
Vila Nova de Gaia;0.00984478062547172907;580.87662
Vila Nova de Paiva;0.10996261271167802947;190.10347
Vila Nova de Poiares;0.113410830734335129;481.20279
Vila Pouca de Aguiar;0.15668718522663682149;343.48217
Vila Real;0.06022645145748012527;378.69204
Vila Real de Santo António;0.01489794904901425237;332.20603
Vila Velha de Ródão;0.1166520851560221639;2673.6311
Vila Verde;0.14834794335805799056;432.34159
Vila Viçosa;0.08317737575379496777;559.24913
Vimioso;0.22296544035674470457;156.75645
Vinhais;0.34615896684862202104;155.7183
Viseu;0.04170767921789759931;438.7658
Vizela;0.04525706010137581463;545.46582
Vouzela;0.13211978860833822666;309.81122
Águeda;0.04626903339782956171;937.5819
Évora;0.03747540676431092096;700.92122
Ílhavo;0.01601088740343433535;669.21416
Óbidos;0.06867458059452565486;510.35361
